species	fig_associated	note
Oscheius_sp_TEL2014_PRJNA301782	no	
Auanema_rhodensis_PRJEB31201	no	
Diploscapter_coronatus_PRJDB3143	no	
Diploscapter_pachys_PRJNA280107	no	
Caenorhabditis_monodelphis_PRJEB7905	no	
Caenorhabditis_angaria_PRJNA51225	no	
Caenorhabditis_brenneri_PRJNA20035	no	
Caenorhabditis_inopinata_PRJDB5687	yes	
Caenorhabditis_japonica_PRJNA12591	no	
Pelodera_strongyloides_PRJNA408007	no	
Mesorhabditis_belari_PRJEB30104	no	
Butlerius_sp	no	
Diplogastrellus_sp	no	
Mehdinema_alii	no	
Diplogastrellus_gracilis	no	
Fuchsnema_sp	no	
Fuchsnema_halleri	no	
Pseudodiplogasteroides_sp	no	
Rhabditidoides_sp	no	
Diplogasteroides_sp	no	
Diplogasteroides_magnus	no	
Levipalatum_texanum	no	
Rhabditolaimus_sp_1	no	
Rhabditolaimus_sp_2	no	Fig-association status of Rhabditolaimus in dispute
Oigolaimella_attenuata	no	
Oigolaimella_sp	no	
Pristionchus_entomophagus_PRJEB27334	no	
Pristionchus_pacificus_PRJEB20959	no	
Pristionchus_exspectatus_PRJEB24288	no	
Pristionchus_quartusdecimus_PRJEB20959	no	
Pristionchus_fissidentatus_PRJEB20959	no	
Fig_Pristionchus	yes	placeholder for fig Pristionchus species; see Susoy et al. 2016
Parapristionchus_giblindavisi	no	
Micoletzkya_buetschlii	no	
Micoletzkya_japonica	no	
Micoletzkya_sp	no	
Micoletzkya_inedia	no	
Acrostichus_halicti	no	
Acrostichus_nudicapitatus	no	
Acrostichus_rhynchophori	yes	not actually fig-associated; marked yes only for purposes of illustration; other members of this genus have been reported fig-associated
Diplogasteriana_schneideri	no	
Diplogasetriana_sp	no	
Fictor_sp_2	no	
Fictor_sp_1	no	
Fictor_stercorarius	no	
Sudhausia_aristotokia	no	
Sudhausia_crassa	no	
Mononchoides_sp_1	no	
Mononchoides_sp_2	no	
Mononchoides_sp_3	no	
Neodiplogaster_sp	no	
Neodiplogaster_crenatae	no	
Tylopharynx_foetida	no	
Paroigolaimella_stresemanni	no	
Eudiplogasterium_levidentum	no	
Sachsia_zurstrasseni	no	
Paroigolaimella_micura	no	
Teratodiplogaster_sp_2	yes	
Teratodiplogaster_sp_1	yes	
Parasitodiplogaster_maxinema	yes	
Allodiplogaster_hylobii	no	
Allodiplogaster_sp_1	no	
Allodiplogaster_sudhausi	no	
Koerneria_luziae	no	
Koerneria_sp_2	no	
Leptojacobus_dorci	no	
Poikilolaimus_oxycercus_NA	no	
Plectus_sambesii_PRJNA506962	no	
Plectus_sambesii_PRJNA390260	no	
Plectus_murrayi_PRJNA437992	no	
Plectus_murrayi_PRJNA317772	no	
Anaplectus_granulosus_PRJNA506144	no	
Neocamacolaimus_parasiticus_T82	no	
Stephanolaimus_elegans_T14	no	
Linhomoeidae_sp_T98	no	
Siphonolaimus_sp_KK765	no	
Odontophora_sp_PRJNA506153	no	
Dorylaimopsis_sp_T63	no	
Halomonhystera_disjuncta_PRJNA268901	no	
Halomonhystera_hermesis_PRJNA268901	no	
Gammarinema_sp_T79	no	
Monhystera_sp_X1680	no	
Sphaerolaimus_sp_T62	no	
Ceramonema_sp_KK776	no	
Tricoma_sp_KK676	no	
Halichoanolaimus_dolichurus_T95	no	
Euchromadora_sp_PRJNA506150	no	
Leptonemella_sp_KK618	no	
Stilbonema_sp_KK748	no	
Paradraconema_sp_KK625	no	
Pomponema_sp_KK807	no	
Soboliphyme_baturini_PRJEB516	no	
